Experiment,AUC_Mean,AUC_Std,F1_Mean,F1_Std,Recall_Mean,AP_Mean
Exp1_Baseline,0.9215553694451664,0.008666512438999067,0.5293906810035842,0.03132050505369672,0.5293906810035842,0.5402574668373313
Exp2_Edited,0.9190810318216677,0.007152608432401669,0.521505376344086,0.015908488187220196,0.521505376344086,0.5290712728740194
Exp3_Edited,0.9314249317327838,0.003878817364518785,0.5351254480286738,0.02100982206416178,0.5351254480286738,0.5610821964910635
Exp4_Edited,0.9110653536257833,0.014994901588671377,0.4946236559139785,0.021890224350684568,0.4946236559139785,0.48467872822890257
