feature_set_file,feature_column,feature_type,param_config,n_dimensions,task,ari,silhouette_score,calinski_harabasz_score,inertia
params/feature_set_8.joblib,all_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",21690,H1,0.9471869010563928,0.0950667447067126,402.1361472212543,1543821.9207363897
params/feature_set_8.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",1456,H1,0.9471869010563928,0.10022719874327,425.6418936231443,1458562.0505061692
params/feature_set_4.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8738,H1,0.9471868963860118,0.1192462893965723,525.3966007670197,840030.0829934006
params/feature_set_4.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1266,H1,0.9471868963860118,0.1255616611240392,557.0804345976024,792251.7133151413
params/feature_set_4.joblib,all_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8802,H1,0.9471868963860118,0.1195131677901688,526.9394397106131,842000.501014804
params/feature_set_4.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1267,H1,0.9471868963860118,0.1258423583038466,558.7291070755151,794091.9073036363
params/feature_set_5.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1542,H1,0.9410677579874062,0.113990463158551,496.2636981491784,959805.435111664
params/feature_set_5.joblib,all_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",11706,H1,0.9410677579874062,0.1081640625168545,468.4307245151854,1016836.9769496582
params/feature_set_5.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",11680,H1,0.9400498292674844,0.1067857168152985,461.0529557893972,1014905.3380091612
params/feature_set_5.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1543,H1,0.9400498292674844,0.1125473926000071,488.39417525879423,958086.685176166
params/feature_set_5.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1542,H1,0.9400498292674844,0.1122865412705907,487.0721541569255,956182.5303246272
params/feature_set_5.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",11616,H1,0.9400498292674844,0.1065349361763215,459.793029196457,1012914.541522622
params/feature_set_7.joblib,hog_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1265,H1,0.9359836168760356,0.1216593160405409,535.4791576715272,792107.2548944518
params/feature_set_7.joblib,hog_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8712,H1,0.9359836168760356,0.1155164455207089,505.164425740128,839643.7042159513
params/feature_set_7.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8776,H1,0.9359836168760356,0.115766971169923,506.5701945339333,841635.7140479787
params/feature_set_7.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1266,H1,0.9359836168760356,0.1219230381549407,536.9816624888746,793968.213340477
params/feature_set_7.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1263,H1,0.9349684410598276,0.1248933353474916,553.7716848000741,793354.8744424083
params/feature_set_7.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1264,H1,0.9349684410598276,0.1251467402593636,555.2270284082991,795220.3978863774
params/feature_set_7.joblib,all_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8802,H1,0.9349684410598276,0.1188479620133313,523.6689456184574,843145.3265874911
params/feature_set_7.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",8738,H1,0.9349684408343024,0.1186162534355382,522.3051953177061,841153.5104287253
params/feature_set_5.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",11642,H1,0.9319262172127464,0.1078892869877596,467.1923010721217,1014845.081370568
params/feature_set_5.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1541,H1,0.9309132438785328,0.1136933119885589,494.9660731089176,957896.3145518068
params/feature_set_1.joblib,hog_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",766,H1,0.9278776297404382,0.1487577445581309,668.1064242324201,485429.8652630181
params/feature_set_1.joblib,hog_lbp_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",4382,H1,0.9278776297404382,0.1426565227712549,637.7892054097539,517374.180667824
params/feature_set_1.joblib,hog_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",4356,H1,0.9278776297404382,0.1412704820858218,629.2178855317183,515433.3052920591
params/feature_set_1.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",4868,H1,0.9268668586674822,0.1401855724695875,625.608818951424,522722.28587113897
params/feature_set_1.joblib,all_features,Original,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",4894,H1,0.9258566390389632,0.1415840402782581,634.0821379092807,524662.2490308463
params/feature_set_1.joblib,all_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",781,H1,0.9258566390389632,0.1491005685799669,673.3457316757743,494067.1040706464
params/feature_set_1.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",781,H1,0.9258566390389632,0.1476468325325155,664.2140052415897,492340.2634836021
params/feature_set_1.joblib,hog_lbp_features,PCA,"{'hsv': {'bins': (8, 8, 8)}, 'lbp': {'numPoints': 24, 'radius': 8, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",767,H1,0.9258566390389632,0.1501625601496458,677.2854737707833,487202.2178061562
