Experiment,AUC_Mean,AUC_Std,F1_Mean,F1_Std,Recall_Mean,AP_Mean
Exp1_Baseline,0.92257224,0.013175997269823552,0.5188,0.03520454516110101,0.5188,0.5321865403184375
Exp2_Baseline_Edited,0.8544866799999999,0.014594199766537405,0.38039999999999996,0.028352072234670945,0.38039999999999996,0.35794433579582224
Exp3_HDBSCAN,0.7346810799999999,0.05753961215077489,0.29221318425992154,0.23930353459173273,0.3552,0.3077092481721799
Exp4_HDBSCAN_edited,0.7548991199999999,0.05717713512855992,0.2864026301083697,0.2342406162983148,0.38079999999999997,0.32397868138314667
