Config,Scaler,AP_Mean,ROC_Mean,F1_Mean,P@50_Mean
Config_Detail,MinMax,0.9404686043948713,0.9601739846742753,0.7854196693543664,1.0
Baseline,MinMax,0.9151576535264336,0.941140894805713,0.7277807208699011,1.0
Config_Broad,MinMax,0.9147202796600485,0.9399985448371655,0.7207287573183951,1.0
Config_Broad,Standard,0.8951686190219472,0.9320495214227155,0.5960067467435974,0.9960000000000001
Baseline,Standard,0.8927954225078498,0.9408344934564031,0.4945409307747338,0.9279999999999999
Config_Detail,Standard,0.883429316158631,0.9442671691535651,0.34009465143035944,0.9640000000000001
