Config,Scaler,AP_Mean,ROC_Mean,F1_Mean,P@50_Mean
Config_Detail_v3,MinMax,0.9364140926860097,0.9568351559797843,0.784630665564465,1.0
Config_Detail_v3,Standard,0.8982530819947158,0.9445145154064185,0.5459040798076262,0.944
Baseline_v3,Standard,0.7416769041405468,0.8461285361360462,0.1757331785262714,0.8160000000000001
Baseline_v3,MinMax,0.7303768305720515,0.8357884256096716,0.09566315181899306,0.9279999999999999
Config_Broad_v3,Standard,0.35393032175663564,0.4527821817668096,0.006696564754368532,0.532
Config_Broad_v3,MinMax,0.3143742246264539,0.4168646772422119,0.0,0.20800000000000002
