feature_set_file,feature_column,feature_type,param_config,n_dimensions,task,n_clusters_found,n_noise_points,ari,silhouette_score,calinski_harabasz_score
params/feature_set_5.joblib,hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",21,H2-HDBSCAN,140,3152,0.7707790353469853,0.23814915120601654,649.8311767578125
params/feature_set_7.joblib,hsv_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",21,H2-HDBSCAN,140,3152,0.7707790353469853,0.23814915120601654,649.8311767578125
params/feature_set_4.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",64,H2-HDBSCAN,144,3367,0.7478898109624692,0.21090079843997955,571.5520629882812
params/feature_set_8.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",64,H2-HDBSCAN,145,3343,0.7468181060638068,0.21066886186599731,568.6543579101562
params/feature_set_7.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 2, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",64,H2-HDBSCAN,145,3343,0.7468181060638068,0.21066886186599731,568.6543579101562
params/feature_set_5.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 24, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",64,H2-HDBSCAN,145,3343,0.7468181060638068,0.21066886186599731,568.6543579101562
params/feature_set_6.joblib,hsv_features,Original,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (3, 3)}}",64,H2-HDBSCAN,145,3343,0.7468181060638068,0.21066886186599731,568.6543579101562
params/feature_set_2.joblib,hog_hsv_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",4760,H2-HDBSCAN,105,1746,0.587128028596829,0.041431543056039105,41.69924526719164
params/feature_set_2.joblib,all_features,PCA,"{'hsv': {'bins': (16, 16, 16)}, 'lbp': {'numPoints': 32, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 12, 'pixels_per_cell': (4, 4), 'cells_per_block': (2, 2)}}",4761,H2-HDBSCAN,105,1737,0.5869397611193485,0.04152022594975942,41.83409017950114
params/feature_set_3.joblib,all_features,PCA,"{'hsv': {'bins': (4, 8, 2)}, 'lbp': {'numPoints': 24, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 18, 'pixels_per_cell': (8, 8), 'cells_per_block': (2, 2)}}",1693,H2-HDBSCAN,96,1142,0.5639928784542306,0.047147896661847724,75.18219126542694
params/feature_set_7.joblib,hog_hsv_features,Original,"{'hsv': {'bins': (8, 12, 3)}, 'lbp': {'numPoints': 16, 'radius': 4, 'method': 'uniform'}, 'hog': {'orientations': 9, 'pixels_per_cell': (16, 16), 'cells_per_block': (3, 3)}}",1602,H2-HDBSCAN,83,518,0.567233148691258,0.05836538453012709,151.30094609259865
